Seconds,Longitude,Latitude,Altitude
42372.833,-2.835882162,55.89117709,65.2
42372.867,-2.835883237,55.89117808,65.2
42372.901,-2.835883953,55.89117892,65.2
42372.934,-2.835884783,55.8911799,65.2
42372.967,-2.835885607,55.89118087,65.2
42373.001,-2.835886311,55.89118171,65.2
42373.034,-2.835887129,55.89118267,65.2
42373.068,-2.835887913,55.89118364,65.2
42373.101,-2.835888838,55.89118439,65.2
42373.135,-2.835889657,55.89118532,65.1
42373.168,-2.835890471,55.89118625,65.1
42373.202,-2.835891276,55.89118718,65.1
42373.236,-2.835891958,55.89118798,65.1
42373.269,-2.835893051,55.89118896,65.1
42373.303,-2.835893881,55.89118994,65.1
42373.336,-2.835894585,55.89119078,65.1
42373.37,-2.835895398,55.89119177,65.1
42373.404,-2.8358962,55.89119275,65.1
42373.437,-2.835896988,55.89119373,65.1
42373.471,-2.835897935,55.89119467,65.1
42373.505,-2.835898724,55.89119568,65.1
42373.538,-2.835899509,55.8911967,65.1
42373.572,-2.835900288,55.89119771,65.1
42373.606,-2.835900953,55.89119859,65.1
42373.639,-2.835901724,55.89119961,65.1
42373.673,-2.835902552,55.89120063,65.1
42373.706,-2.835903171,55.8912015,65.1
42373.74,-2.835903891,55.89120251,65.1
42373.773,-2.835904606,55.89120352,65.1
42373.807,-2.835905315,55.89120453,65.1
42373.841,-2.835905916,55.8912054,65.1
42373.874,-2.835906687,55.89120641,65.1
42373.908,-2.83590738,55.89120741,65.1
42373.942,-2.835907972,55.89120827,65.1
42373.975,-2.83590866,55.89120927,65.1
42374.009,-2.835909343,55.89121026,65.1
42374.042,-2.835910023,55.89121126,65.1
42374.076,-2.835910641,55.89121206,65.1
42374.11,-2.835911312,55.89121303,65.1
42374.143,-2.835911985,55.891214,65.1
42374.177,-2.835912661,55.89121497,65.1
